code,מקט,קו,כיוון,שם מפעיל,אשכול,מחוז,שם יישוב מוצא,שם יישוב יעד,מוצא_יעד מאוחד,סוג קו,שם סוג שירות,ייחודיות הקו,סוג אוטובוס,גודל אוטובוס,מספר חלופות,אורך מסלול (קמ) חלופה ראשית,"ק""מ שבועי",ממוצע נוסעים לקילומטר,מספר תחנות בקו - חלופה ראשית,הפעלת הקו,תחנות שקו זה משרת בבלעדיות,ישובים שקו זה משרת בבלעדיות,מהירות ממוצעת,משך נסיעה ממוצע (דקות),עלות תפעולית לנוסע,עלות תפעולית משוקללת,קבוצת יעילות תפעולית,כמות נסיעות יומית (ג),כמות נסיעות שבועיות,תיקופים יומי,תיקופים שבועי,ממוצע  תיקופים לנסיעה (שבועי),אומדן נוסעים (אחוזון 80),אומדן ממוצע נוסעים לנסיעה (אחוזון 80),מספר נוסעים מירבי,תקופת נסועה מירבית,הערה
10003_1,10003,3,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,3.3,39.7,14.2,12,מעל שנה וחצי,,,15.33,12.92,1.65,931.755,תלמידים,2,12,93.2,564.7,47.1,644.8,53.7333333333333,54,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בשישי - 06:00-08:59
10006_1,10006,6,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,8.4,84.2,1.4,21,מעל שנה וחצי,3,,17.39,28.98,14.81,1738.694,תלמידים,2,10,19.6,117.4,11.7,149.8,14.98,17.4,"יום שישי, 06:00 - 08:59 - שיא בוקר",| קו עירוני עם פחות מ-10 נסיעות יומיות
10006_3,10006,6,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,12.3,1317.3,0.8,34,מעל שנה וחצי,14,,15.01,49.17,31.16,31565.08,עירוני תדירות נמוכה,19,107,177.6,1013,9.5,1341,12.5327102803738,23,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10007_1,10007,7,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,נשר,חיפה_נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,4.7,288.9,2.3,8,מעל שנה וחצי,,,27.8,10.14,5.59,3710.083,עירוני תדירות נמוכה,11,61,127.8,663.7,10.9,856.6,14.0426229508197,27.8,"יום חול, 06:00 - 08:59 - שיא בוקר",
10007_2,10007,7,2,אגד,חיפה עירוני,מטרופולין חיפה,נשר,חיפה,חיפה_נשר,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,3.7,229.3,1.3,8,מעל שנה וחצי,,,24.54,9.05,11.09,3368.033,עירוני תדירות נמוכה,11,62,54.8,303.7,4.9,506.4,8.16774193548387,25.4,"יום חול, 15:00 - 18:59 - שיא ערב",מכסימום נוסעים בתקופת יום קטן מ 10
10008_1,10008,8,1,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,2,5.9,61.3,8.4,22,מעל שנה וחצי,,,16.08,22.01,3.06,1582.326,תלמידים,2,12,85.9,517.1,43.1,636.8,53.0666666666667,55.4,"יום שישי, 06:00 - 08:59 - שיא בוקר",| קו עירוני עם פחות מ-10 נסיעות יומיות
10008_2,10008,8,2,אגד,חיפה עירוני,מטרופולין חיפה,רכסים,רכסים,רכסים_רכסים,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,5.9,105.5,5.8,20,מעל שנה וחצי,,,19.49,18.16,3.19,1962.807,תלמידים,3,18,107.4,615.3,34.2,827.4,45.9666666666667,51.4,"יום חול, 12:00 - 14:59 - שפל יום 2",| קו עירוני עם פחות מ-10 נסיעות יומיות
10010_3,10010,10,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.2,1832.6,2.1,35,מעל שנה וחצי,5,,14.83,41.27,11.33,44335.423,עירוני תדירות נמוכה,32,179,698.8,3913.1,21.9,4882.6,27.277094972067,46,"יום שישי, 09:00 - 11:59 - שפל יום 1",| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10012_1,10012,12,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ביאליק,קרית מוצקין,קרית ביאליק_קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.7,7251.9,2.3,47,מעל שנה וחצי,3,,19.04,52.63,8.28,136685.412,עירוני תדירות גבוהה,76,433,2973.7,16507.9,38.1,20492.6,47.3270207852194,85,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10012_2,10012,12,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית מוצקין,קרית ביאליק,קרית ביאליק_קרית מוצקין,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.6,7124.5,2.3,45,מעל שנה וחצי,3,,19.79,50.33,7.89,129306.843,עירוני תדירות גבוהה,75,428,2927.6,16388.7,38.3,20773.4,48.5359813084112,89.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10013_1,10013,13,1,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית מוצקין,קרית ים,קרית מוצקין_קרית ים,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.2,7060.4,1.9,60,מעל שנה וחצי,,,18.49,59.06,10.06,137102.71,עירוני תדירות גבוהה,67,387,2431.9,13628.5,35.2,17419.8,45.0124031007752,95.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10013_2,10013,13,2,אגד,"מתמ""ז-קריות",מטרופולין חיפה,קרית ים,קרית מוצקין,קרית מוצקין_קרית ים,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.6,7165.7,1.8,58,מעל שנה וחצי,,,19.09,58.46,10.38,135392.568,עירוני תדירות גבוהה,67,386,2332.2,13043.6,33.8,16328,42.300518134715,70.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10014_1,10014,14,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,19.5,58.5,1,66,מעל שנה וחצי,,,26.38,44.35,14.13,798.345,עירוני תדירות נמוכה,0,3,0.1,56.5,18.8,60.8,20.2666666666667,24.8,"יום שבת, 19:00 - 23:59 - שפל ערב",
10014_3,10014,14,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,30.8,463.2,1.9,101,מעל שנה וחצי,2,,20.71,89.23,10.19,9100.689,עירוני תדירות נמוכה,0,17,0,893.1,52.5,1049.6,61.7411764705882,91.2,"יום שבת, 15:00 - 18:59 - שיא ערב",| לבחון דילול חלופות| לבחון הוספת נסיעות בשבת - 12:00-14:59
10016_1,10016,16,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.5,4402.2,2.1,37,מעל שנה וחצי,,,18.58,56.51,9.45,85470.525,עירוני תדירות נמוכה,46,252,1668.8,9044.5,35.9,11240.6,44.6055555555556,77.8,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10016_2,10016,16,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,15.8,4194.3,1.7,32,מעל שנה וחצי,,,21.51,44.07,9.89,70308.999,עירוני תדירות נמוכה,48,266,1311,7109.1,26.7,8829.4,33.1932330827068,69,"יום חול, 06:00 - 08:59 - שיא בוקר",| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10017_1,10017,17,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,22.6,6970.4,1.8,59,מעל שנה וחצי,,,20.85,65.04,9.72,120528.972,עירוני תדירות גבוהה,55,309,2292.6,12400.1,40.1,15164,49.0744336569579,78.4,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10017_2,10017,17,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,20.5,7040.1,1.7,51,מעל שנה וחצי,,,22.47,54.74,9.65,118245.31,עירוני תדירות גבוהה,66,360,2294.1,12253.4,34,15493.4,43.0372222222222,65.6,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10018_1,10018,18,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,6,13.9,5817.2,2.2,47,מעל שנה וחצי,,,17.81,46.83,9.22,118051.036,עירוני תדירות גבוהה,71,420,2204.6,12803.8,30.5,16501,39.2880952380952,68.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון דילול חלופות| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10018_2,10018,18,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,13,5675.6,2.4,37,מעל שנה וחצי,,,18.35,42.51,8.39,112013.212,עירוני תדירות גבוהה,74,439,2283.9,13350.8,30.4,17252,39.2984054669704,85.4,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון דילול חלופות| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10019_1,10019,19,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,10.4,4756.7,3,52,מעל שנה וחצי,,,18.02,34.63,6.13,86639.581,עירוני תדירות גבוהה,74,417,2523.9,14133.7,33.9,17985.8,43.1314148681055,90,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10019_2,10019,19,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,10.5,4539.7,2.7,46,מעל שנה וחצי,,,18.92,33.3,6.52,79891.516,עירוני תדירות גבוהה,72,400,2218.7,12253.3,30.6,15862.2,39.6555,78.4,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10020_3,10020,20,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,20.1,6834,1.9,86,מעל שנה וחצי,13,,20.2,59.7,9.17,121733.584,עירוני תדירות גבוהה,60,340,2394.6,13275.2,39,17380.8,51.12,115.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10021_2,10021,21,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.6,105.8,1.2,35,מעל שנה וחצי,,,24.21,26.27,12.66,1576.17,עירוני תדירות נמוכה,2,10,24.9,124.5,12.4,139,13.9,17,"יום חול, 04:00 - 05:59 - שפל לפנות בוקר",מכסימום נוסעים בתקופת יום קטן מ 15| קו עירוני עם פחות מ-10 נסיעות יומיות
10023_1,10023,23,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.5,94.3,1.5,34,מעל שנה וחצי,,,18.15,34.71,13.13,1873.651,עירוני תדירות נמוכה,0,9,0,142.7,15.9,172.4,19.1555555555556,26.8,"יום שבת, 12:00 - 14:59 - שפל יום 2",
10023_2,10023,23,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,10.5,94.2,1.4,34,מעל שנה וחצי,,,21.86,28.82,11.79,1556.28,עירוני תדירות נמוכה,0,9,0,132,14.7,157.4,17.4888888888889,19.6,"יום שבת, 12:00 - 14:59 - שפל יום 2",
10024_1,10024,24,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,26.6,7338,1.7,67,מעל שנה וחצי,,,19.5,81.85,11.19,135559.017,עירוני תדירות נמוכה,49,276,2187.3,12114.3,43.9,15100,54.7101449275362,83.4,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10024_2,10024,24,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,22.9,6782.2,1.6,59,מעל שנה וחצי,,,20.63,66.6,10.92,118312.74,עירוני תדירות גבוהה,53,296,1975.8,10834.5,36.6,13652.6,46.1236486486487,76.4,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10025_1,10025,25,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,8.5,3221.7,1.8,33,מעל שנה וחצי,,,18.93,26.94,10.53,62208.081,עירוני תדירות גבוהה,64,385,1005.1,5907.7,15.3,7703.2,20.0083116883117,42.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",
10025_2,10025,25,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,8.7,3276.4,1.7,32,מעל שנה וחצי,,,18.74,27.85,11.57,64008.711,עירוני תדירות גבוהה,64,383,921.2,5532.3,14.4,7315.6,19.1007832898172,45,"יום חול, 06:00 - 08:59 - שיא בוקר",
10027_1,10027,27,1,תנופה,שומרון,מרכז,חריש,מבוא דותן,חריש_מבוא דותן,אזורי,מאסף,סדיר,בינעירוני ממוגן ירי,לא מוגדר,1,24.7,1162.4,0.2,10,לפני 14 חודשים,,,50.36,29.43,45.8,8298.96,אזורי,8,47,33.7,181.2,3.9,277.4,5.90212765957447,18,"יום חול, 15:00 - 18:59 - שיא ערב",| מיעוט נוסעים בשעת שיא הבוקר
10027_2,10027,27,2,תנופה,שומרון,מרכז,מבוא דותן,חריש,חריש_מבוא דותן,אזורי,מאסף,סדיר,בינעירוני ממוגן ירי,לא מוגדר,1,25,1175.2,0.1,9,לפני 14 חודשים,,,54.5,27.52,47.49,7759.866,אזורי,8,47,29.6,163.4,3.5,227.2,4.83404255319149,11.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| מיעוט נוסעים בשעת שיא הבוקר
10028_1,10028,28,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,18.3,5867.9,3.3,60,מעל שנה וחצי,,,16.79,65.4,6.42,125958.474,עירוני תדירות גבוהה,56,321,3450.3,19619.7,61.1,24483.4,76.2722741433022,119,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10028_2,10028,28,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,18.1,6581.4,3.3,57,מעל שנה וחצי,,,17.21,63.1,6.34,137815.116,עירוני תדירות גבוהה,64,364,3885,21737.4,59.7,26664.6,73.2543956043956,122.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10028_3,10028,28,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,2,25.6,239.6,2.6,87,מעל שנה וחצי,,,21.12,72.73,6.24,3926.208,עירוני תדירות נמוכה,0,9,0,629.2,69.9,724.8,80.5333333333333,106,"יום שבת, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בשבת - 12:00-14:59
10029_3,10029,29,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,23.1,5536.3,1.2,79,מעל שנה וחצי,12,,20.33,68.18,14.79,98177.499,עירוני תדירות נמוכה,43,240,1217.1,6638.1,27.7,8676,36.15,67.6,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10030_1,10030,30,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.3,3798.8,1.8,50,מעל שנה וחצי,,,19.53,43.93,10.03,69833.875,עירוני תדירות נמוכה,48,265,1248.3,6962.5,26.3,8651.2,32.6460377358491,69,"יום חול, 12:00 - 14:59 - שפל יום 2",| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10030_2,10030,30,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,13.8,3647.2,1.8,55,מעל שנה וחצי,,,21.11,39.22,9.4,62354.9,עירוני תדירות נמוכה,48,265,1174.3,6633.5,25,8350.2,31.5101886792453,85,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10031_1,10031,31,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,17.1,1902,1.9,51,מעל שנה וחצי,,,20.02,51.25,9.49,34121.295,עירוני תדירות נמוכה,20,111,664.7,3595.5,32.4,4393,39.5765765765766,78.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10031_2,10031,31,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.9,2040.4,2.3,52,מעל שנה וחצי,,,18.98,53.42,8.26,38806.306,עירוני תדירות נמוכה,22,121,867.7,4698.1,38.8,5799.6,47.9305785123967,92,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10032_1,10032,32,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,14.4,158.8,1.7,59,מעל שנה וחצי,32,,18.23,47.39,11.4,3128.16,תלמידים,2,11,48.9,274.4,24.9,318.6,28.9636363636364,32.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",| לבחון הוספת נסיעות בשישי - 09:00-11:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10032_2,10032,32,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,10.1,60.5,2.6,44,מעל שנה וחצי,22,,16.99,35.67,8.06,1284.764,תלמידים,1,6,28.7,159.4,26.6,182.8,30.4666666666667,33,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 06:00-08:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10032_3,10032,32,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,14,2248,0.8,54,מעל שנה וחצי,32,,18.96,44.3,23.56,42796.74,עירוני תדירות נמוכה,29,161,325.4,1816.5,11.3,2321.6,14.4198757763975,29.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
10033_3,10033,33,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,3,7.7,2391.4,2,57,מעל שנה וחצי,3,,15.78,29.28,10.79,52698.36,עירוני תדירות גבוהה,53,300,881.5,4884,16.3,6262.4,20.8746666666667,65,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10034_1,10034,34,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,אוטובוס,1,11.3,45.3,3.2,55,מעל שנה וחצי,1,,14,48.43,8.13,1162.59,תלמידים,1,4,28.6,143,35.8,176.8,44.2,44.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| קו עירוני עם פחות מ-10 נסיעות יומיות
10034_3,10034,34,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,2,7.6,2165.3,2.2,53,מעל שנה וחצי,2,,16.51,27.62,9.86,46718.652,עירוני תדירות גבוהה,50,282,853.6,4738.2,16.8,6064,21.5035460992908,52.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10035_1,10035,35,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,11.6,23.2,1.2,46,מעל שנה וחצי,,,22.84,30.47,13.39,365.547,עירוני תדירות נמוכה,0,2,0.1,27.3,13.6,27.2,13.6,25.2,"יום שבת, 15:00 - 18:59 - שיא ערב",
10035_2,10035,35,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,9.9,9.9,1.6,39,מעל שנה וחצי,,,25.38,23.4,8.72,140.392,עירוני תדירות נמוכה,0,1,0,16.1,16.1,14.2,14.2,14.2,"יום שבת, 15:00 - 18:59 - שיא ערב",
10036_1,10036,36,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,20.2,1369.7,2,56,מעל שנה וחצי,,,18.36,66.01,10.88,29306.368,עירוני תדירות נמוכה,13,74,484.8,2693.6,36.4,3414,46.1351351351351,68.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בשישי - 12:00-14:59
10036_2,10036,36,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,17.4,1660.3,1.9,51,מעל שנה וחצי,,,18.84,55.41,11.83,37572.08,עירוני תדירות נמוכה,20,113,577.6,3176,28.1,3791.2,33.5504424778761,55.4,"יום חול, 15:00 - 18:59 - שיא ערב",| לבחון דילול חלופות| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10037_1,10037,37,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,4,15,10821.6,2.5,81,מעל שנה וחצי,,,18.03,49.92,5.33,146973.151,עירוני תדירות גבוהה,86,491,4959.7,27574.7,56.2,34869.6,71.0175152749491,145.8,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון דילול חלופות| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10037_2,10037,37,2,אגד,חיפה עירוני,מטרופולין חיפה,דאלית אל כרמל,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,28.9,9547.8,2.1,75,מעל שנה וחצי,,,19.15,90.55,11.43,229815.009,עירוני תדירות גבוהה,74,423,3629.5,20106.3,47.5,25736.6,60.8430260047281,117.2,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 12:00-14:59
10038_3,10038,38,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,11.6,3239,1.3,45,מעל שנה וחצי,16,,21.91,31.77,12.48,53358.24,עירוני תדירות גבוהה,50,280,768.4,4275.5,15.3,5457.6,19.4914285714286,45,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10039_1,10039,39,1,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,1,12.4,136.9,1.4,55,מעל שנה וחצי,9,,20.3,36.65,12.3,2419.41,תלמידים,2,11,37.2,196.7,17.9,251,22.8181818181818,31.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10039_2,10039,39,2,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,תלמידים,עירוני,מיניבוס,2,9.6,118.1,1.6,47,מעל שנה וחצי,16,,18.69,30.82,11.78,2219.352,תלמידים,2,12,34.9,188.4,15.7,227.2,18.9333333333333,23,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 06:00-08:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
10039_3,10039,39,3,אגד,חיפה עירוני,מטרופולין חיפה,חיפה,חיפה,חיפה_חיפה,עירוני,מקומי מאסף,סדיר,עירוני,מיניבוס,1,11.6,2383.5,0.7,50,מעל שנה וחצי,8,,20.25,34.37,24.11,42272.063,עירוני תדירות נמוכה,37,205,326.2,1753.3,8.6,2312,11.2780487804878,19.4,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| לבחון שינוי סוג רכב מוגדר לגדול יותר| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
