code,מקט,קו,כיוון,שם מפעיל,אשכול,מחוז,שם יישוב מוצא,שם יישוב יעד,מוצא_יעד מאוחד,סוג קו,שם סוג שירות,ייחודיות הקו,סוג אוטובוס,גודל אוטובוס,מספר חלופות,אורך מסלול (קמ) חלופה ראשית,"ק""מ שבועי",ממוצע נוסעים לקילומטר,מספר תחנות בקו - חלופה ראשית,הפעלת הקו,תחנות שקו זה משרת בבלעדיות,ישובים שקו זה משרת בבלעדיות,מהירות ממוצעת,משך נסיעה ממוצע (דקות),עלות תפעולית לנוסע,עלות תפעולית משוקללת,קבוצת יעילות תפעולית,כמות נסיעות יומית (ג),כמות נסיעות שבועיות,תיקופים יומי,תיקופים שבועי,ממוצע  תיקופים לנסיעה (שבועי),אומדן נוסעים (אחוזון 80),אומדן ממוצע נוסעים לנסיעה (אחוזון 80),מספר נוסעים מירבי,תקופת נסועה מירבית,הערה
19014_2,19014,14,2,דן בדרום,צפון הנגב,הדרום,צאלים,אשכול,אשכול_צאלים,בינעירוני,מאסף,סדיר,בינעירוני,מיניבוס,1,24.2,1425.5,0.1,10,מעל שנה וחצי,5,"גבולות, מגן",55.7,26.07,74.19,9229.236,בינעירוני קצר,10,59,21.3,124.4,2.1,215.4,3.65084745762712,8.2,"יום שישי, 06:00 - 08:59 - שיא בוקר",
19016_1,19016,16,1,דן,תל אביב,גוש דן,תל אביב יפו,רמת גן,תל אביב יפו_רמת גן,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,14.9,5454.6,1.6,44,מעל שנה וחצי,7,,13.55,65.98,16.82,144527.532,עירוני תדירות גבוהה,61,365,1462.5,8592.6,23.5,10980,30.0821917808219,63,"יום חול, 15:00 - 18:59 - שיא ערב",
19016_2,19016,16,2,דן,תל אביב,גוש דן,רמת גן,תל אביב יפו,תל אביב יפו_רמת גן,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,16.1,5834.9,1.2,40,מעל שנה וחצי,5,,14.51,66.57,20.05,144983.555,עירוני תדירות גבוהה,60,363,1235.9,7231.1,19.9,9290.8,25.5944903581267,49.6,"יום חול, 06:00 - 08:59 - שיא בוקר",
19018_1,19018,18,1,דן בדרום,צפון הנגב,הדרום,אשקלון,אשקלון,אשקלון_אשקלון,עירוני,מקומי מאסף,קווים מזינים,עירוני,אוטובוס,2,10.9,4776.4,1.7,30,מעל שנה וחצי,4,,21.92,29.84,9.42,75393.912,קווים מזינים,74,421,1465.3,8003.6,19,10388.8,24.6764845605701,55.4,"יום חול, 06:00 - 08:59 - שיא בוקר",
19018_2,19018,18,2,דן בדרום,צפון הנגב,הדרום,אשקלון,אשקלון,אשקלון_אשקלון,עירוני,מקומי מאסף,קווים מזינים,עירוני,אוטובוס,2,11.3,4747.9,1.8,26,מעל שנה וחצי,2,,23.37,29.01,8.37,69592.365,קווים מזינים,71,400,1522.5,8314.5,20.8,10840,27.1,55,"יום חול, 15:00 - 18:59 - שיא ערב",
19021_1,19021,21,1,דן בדרום,צפון הנגב,הדרום,אשקלון,תלמים,אשקלון_תלמים,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,45.5,1499.9,0.1,43,מעל שנה וחצי,21,"עוצם, נהורה, ניר ח''ן, שחר",39.27,69.52,86.19,13764.543,אזורי,6,33,29.8,159.7,4.8,213.6,6.47272727272727,10,"יום חול, 12:00 - 14:59 - שפל יום 2",
19021_2,19021,21,2,דן בדרום,צפון הנגב,הדרום,תלמים,אשקלון,אשקלון_תלמים,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,45.8,1510,0.1,42,מעל שנה וחצי,20,"ניר ח''ן, שחר, נהורה, עוצם",41.36,66.44,78.82,13155.058,אזורי,6,33,29.7,166.9,5.1,235.4,7.13333333333333,14.4,"יום שישי, 06:00 - 08:59 - שיא בוקר",
19024_1,19024,24,1,מטרופולין,הנגב,הדרום,ערד,דריג'את,ערד_דריג'את,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,22.9,3553.2,0.2,26,לפני 14 חודשים,,,43.26,31.76,34.33,29534.099,בינעירוני קצר,28,155,164.8,860.3,5.6,1276.2,8.23354838709678,16,"יום חול, 12:00 - 14:59 - שפל יום 2",| מיעוט נוסעים בשעת שיא הבוקר
19024_2,19024,24,2,מטרופולין,הנגב,הדרום,דריג'את,ערד,ערד_דריג'את,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,22.7,4035.6,0.2,24,לפני 14 חודשים,,,47.87,28.45,31.86,30381.696,בינעירוני קצר,32,178,181.3,953.6,5.4,1413.2,7.93932584269663,23.2,"יום חול, 06:00 - 08:59 - שיא בוקר",
19026_1,19026,26,1,קווים,חדרה-נתניה,מרכז,נתניה,מעברות,נתניה_מעברות,אזורי,מאסף,סדיר,בינעירוני,מידיבוס,1,20.5,1411.5,0.3,32,מעל שנה וחצי,25,"כפר ידידיה, הדר עם, כפר חיים, כפר מונש, בית הלוי, העוגן, מעברות",24.18,50.87,46.69,21061.859,אזורי,13,69,87.3,451.1,6.5,587.2,8.51014492753623,21.6,"יום חול, 06:00 - 08:59 - שיא בוקר",
19026_2,19026,26,2,קווים,חדרה-נתניה,מרכז,מעברות,נתניה,נתניה_מעברות,אזורי,מאסף,סדיר,בינעירוני,מידיבוס,1,22.4,1544.2,0.3,35,מעל שנה וחצי,23,"מעברות, העוגן, בית הלוי, כפר מונש, כפר חיים, הדר עם, כפר ידידיה",25.92,51.85,43.68,21464.352,אזורי,13,69,94.6,491.4,7.1,674.6,9.7768115942029,17.4,"יום חול, 06:00 - 08:59 - שיא בוקר",
19028_1,19028,28,1,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,נצרת,סח'נין,נצרת_סח'נין,בינעירוני,מאסף,סדיר,בינעירוני,מידיבוס,2,41.6,6311.5,0.2,60,מעל שנה וחצי,,,33.06,75.5,60.6,69308.22,בינעירוני קצר,21,153,174.8,1143.7,7.5,1249,8.16339869281046,32.8,"יום חול, 06:00 - 08:59 - שיא בוקר",
19028_2,19028,28,2,נסיעות ותיירות,קווי נצרת - נסיעות ותיירות,גולן גליל ועמקים,סח'נין,נצרת,נצרת_סח'נין,בינעירוני,מאסף,סדיר,בינעירוני,מידיבוס,2,41.5,6096.2,0.2,61,מעל שנה וחצי,,,33.46,74.42,54.92,66079.744,בינעירוני קצר,20,148,189.1,1203.2,8.1,1305.4,8.82027027027027,39,"יום חול, 12:00 - 14:59 - שפל יום 2",| מיעוט נוסעים בשעת שיא הבוקר
